geneId,geneName,locus,strand,chromosome
gene-LOC102391935,LOC102391935,NC_059180.1,+,24,
gene-LOC102391936,LOC102391936,NC_059159.1,+,3,
gene-LOC102391941,LOC102391941,NC_059177.1,+,21,
gene-LOC102391942,LOC102391942,NC_059174.1,-,18,
gene-LOC102391944,LOC102391944,NC_059179.1,-,23,
gene-LOC102391946,LOC102391946,NC_059174.1,-,18,
gene-LOC102391950,LOC102391950,NC_059173.1,+,17,
gene-LOC102391951,LOC102391951,NC_059167.1,+,11,
gene-LOC102391952,LOC102391952,NC_059159.1,+,3,
gene-LOC102391955,LOC102391955,NC_059160.1,+,4,
gene-LOC102391956,LOC102391956,NC_059181.1,+,X,
gene-LOC102391967,LOC102391967,NC_059165.1,-,9,
gene-LOC102391971,LOC102391971,NC_059161.1,+,5,
gene-LOC102391972,LOC102391972,NC_059158.1,-,2,
gene-LOC102391973,LOC102391973,NC_059179.1,-,23,
gene-LOC102391977,LOC102391977,NC_059167.1,+,11,
gene-LOC102391980,LOC102391980,NC_059157.1,-,1,
gene-LOC102391985,LOC102391985,NC_059168.1,+,12,
gene-LOC102391988,LOC102391988,NC_059167.1,+,11,
gene-LOC102391992,LOC102391992,NC_059172.1,+,16,
gene-LOC102391993,LOC102391993,NC_059181.1,-,X,
gene-LOC102392000,LOC102392000,NC_059157.1,+,1,
gene-LOC102392001,LOC102392001,NC_059173.1,-,17,
gene-LOC102392006,LOC102392006,NC_059172.1,-,16,
gene-LOC102392019,LOC102392019,NC_059167.1,-,11,
gene-LOC102392020,LOC102392020,NC_059170.1,+,14,
gene-LOC102392022,LOC102392022,NC_059170.1,-,14,
gene-LOC102392035,LOC102392035,NC_059161.1,+,5,
gene-LOC102392039,LOC102392039,NC_059165.1,-,9,
gene-LOC102392042,LOC102392042,NC_059162.1,-,6,
gene-LOC102392043,LOC102392043,NC_059172.1,-,16,
gene-LOC102392047,LOC102392047,NC_059171.1,-,15,
gene-LOC102392048,LOC102392048,NC_059179.1,-,23,
gene-LOC102392049,LOC102392049,NC_059165.1,-,9,
gene-LOC102392063,LOC102392063,NC_059160.1,+,4,
gene-LOC102392064,LOC102392064,NC_059167.1,+,11,
gene-LOC102392066,LOC102392066,NC_059161.1,+,5,
gene-LOC102392068,LOC102392068,NC_059177.1,-,21,
gene-LOC102392069,LOC102392069,NC_059172.1,+,16,
gene-LOC102392073,LOC102392073,NC_059161.1,-,5,
gene-LOC102392082,LOC102392082,NC_059161.1,-,5,
gene-LOC102392085,LOC102392085,NC_059158.1,+,2,
gene-LOC102392092,LOC102392092,NC_059178.1,+,22,
gene-LOC102392096,LOC102392096,NC_059162.1,-,6,
gene-LOC102392107,LOC102392107,NC_059158.1,-,2,
gene-LOC102392111,LOC102392111,NC_059169.1,+,13,
gene-LOC102392120,LOC102392120,NC_059174.1,-,18,
gene-LOC102392126,LOC102392126,NC_059173.1,+,17,
gene-LOC102392127,LOC102392127,NC_059181.1,+,X,
gene-LOC102392141,LOC102392141,NC_059172.1,+,16,
gene-LOC102392150,LOC102392150,NC_059166.1,-,10,
gene-LOC102392152,LOC102392152,NC_059164.1,+,8,
gene-LOC102392155,LOC102392155,NC_059164.1,+,8,
gene-LOC102392156,LOC102392156,NC_059157.1,-,1,
gene-LOC102392161,LOC102392161,NC_059181.1,-,X,
gene-LOC102392162,LOC102392162,NC_059175.1,-,19,
gene-LOC102392166,LOC102392166,NC_059165.1,+,9,
gene-LOC102392181,LOC102392181,NC_059160.1,-,4,
gene-LOC102392186,LOC102392186,NC_059162.1,+,6,
gene-LOC102392188,LOC102392188,NC_059165.1,-,9,
gene-LOC102392189,LOC102392189,NC_059160.1,-,4,
gene-LOC102392192,LOC102392192,NC_059160.1,+,4,
gene-LOC102392193,LOC102392193,NC_059169.1,-,13,
gene-LOC102392200,LOC102392200,NC_059181.1,-,X,
gene-LOC102392201,LOC102392201,NC_059160.1,+,4,
gene-LOC102392203,LOC102392203,NC_059172.1,-,16,
gene-LOC102392204,LOC102392204,NC_059166.1,-,10,
gene-LOC102392219,LOC102392219,NC_059181.1,-,X,
gene-LOC102392229,LOC102392229,NC_059159.1,+,3,
gene-LOC102392232,LOC102392232,NC_059166.1,-,10,
gene-LOC102392238,LOC102392238,NC_059159.1,+,3,
gene-LOC102392250,LOC102392250,NC_059167.1,+,11,
gene-LOC102392251,LOC102392251,NC_059180.1,-,24,
gene-LOC102392256,LOC102392256,NC_059157.1,-,1,
gene-LOC102392258,LOC102392258,NC_059177.1,-,21,
gene-LOC102392259,LOC102392259,NC_059171.1,+,15,
gene-LOC102392260,LOC102392260,NC_059167.1,+,11,
gene-LOC102392263,LOC102392263,NC_059174.1,-,18,
gene-LOC102392276,LOC102392276,NC_059181.1,+,X,
gene-LOC102392280,LOC102392280,NC_059169.1,-,13,
gene-LOC102392281,LOC102392281,NC_059162.1,-,6,
gene-LOC102392282,LOC102392282,NC_059173.1,+,17,
gene-LOC102392284,LOC102392284,NC_059167.1,-,11,
gene-LOC102392285,LOC102392285,NC_059161.1,+,5,
gene-LOC102392289,LOC102392289,NC_059160.1,+,4,
gene-LOC102392291,LOC102392291,NC_059181.1,-,X,
gene-LOC102392295,LOC102392295,NC_059162.1,+,6,
gene-LOC102392296,LOC102392296,NC_059157.1,-,1,
gene-LOC102392299,LOC102392299,NC_059166.1,+,10,
gene-LOC102392304,LOC102392304,NC_059168.1,-,12,
gene-LOC102392307,LOC102392307,NC_059161.1,+,5,
gene-LOC102392309,LOC102392309,NC_059158.1,-,2,
gene-LOC102392312,LOC102392312,NC_059170.1,-,14,
gene-LOC102392317,LOC102392317,NC_059172.1,-,16,
gene-LOC102392318,LOC102392318,NC_059169.1,-,13,
gene-LOC102392322,LOC102392322,NC_059168.1,+,12,
gene-LOC102392334,LOC102392334,NC_059159.1,+,3,
gene-LOC102392339,LOC102392339,NC_059173.1,+,17,
gene-LOC102392340,LOC102392340,NC_059160.1,+,4,
gene-LOC102392344,LOC102392344,NC_059172.1,-,16,
gene-LOC102392351,LOC102392351,NC_059177.1,-,21,
gene-LOC102392353,LOC102392353,NC_059167.1,+,11,
gene-LOC102392354,LOC102392354,NC_059170.1,-,14,
gene-LOC102392355,LOC102392355,NC_059160.1,+,4,
gene-LOC102392356,LOC102392356,NC_059167.1,-,11,
gene-LOC102392357,LOC102392357,NC_059157.1,-,1,
gene-LOC102392359,LOC102392359,NC_059177.1,-,21,
gene-LOC102392363,LOC102392363,NC_059172.1,+,16,
gene-LOC102392367,LOC102392367,NC_059171.1,+,15,
gene-LOC102392369,LOC102392369,NC_059160.1,+,4,
gene-LOC102392372,LOC102392372,NC_059161.1,+,5,
gene-LOC102392375,LOC102392375,NC_059161.1,-,5,
gene-LOC102392376,LOC102392376,NC_059158.1,-,2,
gene-LOC102392378,LOC102392378,NC_059172.1,-,16,
gene-LOC102392386,LOC102392386,NC_059165.1,+,9,
gene-LOC102392387,LOC102392387,NC_059181.1,-,X,
gene-LOC102392388,LOC102392388,NC_059176.1,-,20,
gene-LOC102392405,LOC102392405,NC_059177.1,-,21,
gene-LOC102392406,LOC102392406,NC_059172.1,+,16,
gene-LOC102392410,LOC102392410,NC_059161.1,-,5,
gene-LOC102392411,LOC102392411,NC_059164.1,+,8,
gene-LOC102392412,LOC102392412,NC_059176.1,-,20,
gene-LOC102392413,LOC102392413,NC_059159.1,-,3,
gene-LOC102392417,LOC102392417,NC_059170.1,-,14,
gene-LOC102392421,LOC102392421,NC_059157.1,-,1,
gene-LOC102392422,LOC102392422,NC_059161.1,+,5,
gene-LOC102392425,LOC102392425,NC_059165.1,-,9,
gene-LOC102392428,LOC102392428,NC_059158.1,+,2,
gene-LOC102392445,LOC102392445,NC_059167.1,-,11,
gene-LOC102392449,LOC102392449,NC_059172.1,-,16,
gene-LOC102392455,LOC102392455,NC_059159.1,-,3,
gene-LOC102392458,LOC102392458,NC_059174.1,-,18,
gene-LOC102392460,LOC102392460,NC_059170.1,+,14,
gene-LOC102392466,LOC102392466,NC_059160.1,+,4,
gene-LOC102392472,LOC102392472,NC_059172.1,+,16,
gene-LOC102392477,LOC102392477,NC_059170.1,-,14,
gene-LOC102392478,LOC102392478,NC_059167.1,-,11,
gene-LOC102392484,LOC102392484,NC_059180.1,-,24,
gene-LOC102392490,LOC102392490,NC_059164.1,+,8,
gene-LOC102392499,LOC102392499,NC_059165.1,+,9,
gene-LOC102392507,LOC102392507,NC_059166.1,-,10,
gene-LOC102392508,LOC102392508,NC_059167.1,+,11,
gene-LOC102392512,LOC102392512,NC_059160.1,-,4,
gene-LOC102392513,LOC102392513,NC_059159.1,-,3,
gene-LOC102392514,LOC102392514,NC_059160.1,-,4,
gene-LOC102392517,LOC102392517,NC_059160.1,+,4,
gene-LOC102392518,LOC102392518,NC_059160.1,+,4,
gene-LOC102392520,LOC102392520,NC_059172.1,+,16,
gene-LOC102392521,LOC102392521,NC_059177.1,-,21,
gene-LOC102392523,LOC102392523,NC_059161.1,-,5,
gene-LOC102392526,LOC102392526,NC_059177.1,-,21,
gene-LOC102392527,LOC102392527,NC_059163.1,+,7,
gene-LOC102392530,LOC102392530,NC_059172.1,-,16,
gene-LOC102392531,LOC102392531,NC_059166.1,+,10,
gene-LOC102392533,LOC102392533,NC_059172.1,-,16,
gene-LOC102392539,LOC102392539,NC_059170.1,-,14,
gene-LOC102392547,LOC102392547,NC_059159.1,+,3,
gene-LOC102392561,LOC102392561,NC_059159.1,-,3,
gene-LOC102392563,LOC102392563,NC_059160.1,+,4,
gene-LOC102392564,LOC102392564,NC_059174.1,-,18,
gene-LOC102392567,LOC102392567,NC_059167.1,-,11,
gene-LOC102392571,LOC102392571,NC_059158.1,+,2,
gene-LOC102392575,LOC102392575,NC_059157.1,-,1,
gene-LOC102392581,LOC102392581,NC_059174.1,+,18,
gene-LOC102392582,LOC102392582,NC_059176.1,-,20,
gene-LOC102392584,LOC102392584,NC_059158.1,+,2,
gene-LOC102392592,LOC102392592,NC_059161.1,+,5,
gene-LOC102392595,LOC102392595,NC_059162.1,+,6,
gene-LOC102392596,LOC102392596,NC_059173.1,+,17,
gene-LOC102392598,LOC102392598,NC_059167.1,-,11,
gene-LOC102392599,LOC102392599,NC_059159.1,-,3,
gene-LOC102392605,LOC102392605,NC_059181.1,-,X,
gene-LOC102392607,LOC102392607,NC_059169.1,+,13,
gene-LOC102392610,LOC102392610,NC_059167.1,+,11,
gene-LOC102392611,LOC102392611,NC_059157.1,+,1,
gene-LOC102392612,LOC102392612,NC_059175.1,+,19,
gene-LOC102392615,LOC102392615,NC_059165.1,+,9,
gene-LOC102392617,LOC102392617,NC_059171.1,-,15,
gene-LOC102392619,LOC102392619,NC_059176.1,-,20,
gene-LOC102392620,LOC102392620,NC_059161.1,-,5,
gene-LOC102392621,LOC102392621,NC_059158.1,+,2,
gene-LOC102392628,LOC102392628,NC_059174.1,+,18,
gene-LOC102392630,LOC102392630,NC_059176.1,+,20,
gene-LOC102392631,LOC102392631,NC_059172.1,-,16,
gene-LOC102392632,LOC102392632,NC_059169.1,-,13,
gene-LOC102392633,LOC102392633,NC_059168.1,-,12,
gene-LOC102392636,LOC102392636,NC_059167.1,+,11,
gene-LOC102392637,LOC102392637,NC_059165.1,-,9,
gene-LOC102392649,LOC102392649,NC_059160.1,-,4,
gene-LOC102392652,LOC102392652,NC_059158.1,-,2,
gene-LOC102392654,LOC102392654,NC_059159.1,-,3,
gene-LOC102392656,LOC102392656,NC_059172.1,-,16,
gene-LOC102392658,LOC102392658,NC_059162.1,+,6,
gene-LOC102392661,LOC102392661,NC_059164.1,+,8,
gene-LOC102392662,LOC102392662,NC_059169.1,-,13,
gene-LOC102392665,LOC102392665,NC_059169.1,+,13,
gene-LOC102392666,LOC102392666,NC_059160.1,-,4,
gene-LOC102392673,LOC102392673,NC_059158.1,-,2,
gene-LOC102392677,LOC102392677,NC_059171.1,+,15,
gene-LOC102392681,LOC102392681,NC_059181.1,+,X,
gene-LOC102392683,LOC102392683,NC_059159.1,+,3,
gene-LOC102392685,LOC102392685,NC_059161.1,-,5,
gene-LOC102392686,LOC102392686,NC_059158.1,+,2,
gene-LOC102392687,LOC102392687,NC_059162.1,+,6,
gene-LOC102392688,LOC102392688,NC_059172.1,-,16,
gene-LOC102392689,LOC102392689,NC_059168.1,+,12,
gene-LOC102392693,LOC102392693,NC_059179.1,+,23,
gene-LOC102392695,LOC102392695,NC_059165.1,-,9,
gene-LOC102392697,LOC102392697,NC_059180.1,+,24,
gene-LOC102392699,LOC102392699,NC_059157.1,+,1,
gene-LOC102392700,LOC102392700,NC_059160.1,-,4,
gene-LOC102392701,LOC102392701,NC_059179.1,-,23,
gene-LOC102392703,LOC102392703,NC_059161.1,-,5,
gene-LOC102392710,LOC102392710,NC_059177.1,-,21,
gene-LOC102392711,LOC102392711,NC_059177.1,-,21,
gene-LOC102392712,LOC102392712,NC_059172.1,+,16,
gene-LOC102392713,LOC102392713,NC_059162.1,+,6,
gene-LOC102392722,LOC102392722,NC_059161.1,-,5,
gene-LOC102392729,LOC102392729,NC_059161.1,-,5,
gene-LOC102392737,LOC102392737,NC_059158.1,-,2,
gene-LOC102392741,LOC102392741,NC_059158.1,+,2,
gene-LOC102392756,LOC102392756,NC_059171.1,+,15,
gene-LOC102392757,LOC102392757,NC_059167.1,-,11,
gene-LOC102392760,LOC102392760,NC_059173.1,-,17,
gene-LOC102392761,LOC102392761,NC_059157.1,-,1,
gene-LOC102392765,LOC102392765,NC_059166.1,+,10,
gene-LOC102392766,LOC102392766,NC_059172.1,-,16,
gene-LOC102392771,LOC102392771,NC_059168.1,+,12,
gene-LOC102392785,LOC102392785,NC_059179.1,-,23,
gene-LOC102392787,LOC102392787,NC_059172.1,+,16,
gene-LOC102392793,LOC102392793,NC_059170.1,+,14,
gene-LOC102392794,LOC102392794,NC_059164.1,-,8,
gene-LOC102392800,LOC102392800,NC_059157.1,-,1,
gene-LOC102392802,LOC102392802,NC_059164.1,-,8,
gene-LOC102392803,LOC102392803,NC_059180.1,+,24,
gene-LOC102392806,LOC102392806,NC_059161.1,+,5,
gene-LOC102392808,LOC102392808,NC_059158.1,+,2,
gene-LOC102392813,LOC102392813,NC_059164.1,+,8,
gene-LOC102392817,LOC102392817,NC_059173.1,-,17,
gene-LOC102392823,LOC102392823,NC_059165.1,+,9,
gene-LOC102392827,LOC102392827,NC_059173.1,+,17,
gene-LOC102392840,LOC102392840,NC_059180.1,+,24,
gene-LOC102392841,LOC102392841,NC_059174.1,+,18,
gene-LOC102392842,LOC102392842,NC_059160.1,-,4,
gene-LOC102392855,LOC102392855,NC_059176.1,+,20,
gene-LOC102392860,LOC102392860,NC_059167.1,-,11,
gene-LOC102392864,LOC102392864,NC_059170.1,+,14,
gene-LOC102392866,LOC102392866,NC_059172.1,-,16,
gene-LOC102392870,LOC102392870,NC_059180.1,-,24,
gene-LOC102392872,LOC102392872,NC_059161.1,+,5,
gene-LOC102392877,LOC102392877,NC_059158.1,-,2,
gene-LOC102392878,LOC102392878,NC_059162.1,-,6,
gene-LOC102392881,LOC102392881,NC_059159.1,+,3,
gene-LOC102392882,LOC102392882,NC_059160.1,-,4,
gene-LOC102392890,LOC102392890,NC_059180.1,+,24,
gene-LOC102392901,LOC102392901,NC_059162.1,-,6,
gene-LOC102392902,LOC102392902,NC_059159.1,-,3,
gene-LOC102392906,LOC102392906,NC_059158.1,+,2,
gene-LOC102392922,LOC102392922,NC_059162.1,-,6,
gene-LOC102392923,LOC102392923,NC_059173.1,+,17,
gene-LOC102392924,LOC102392924,NC_059167.1,+,11,
gene-LOC102392925,LOC102392925,NC_059159.1,-,3,
gene-LOC102392928,LOC102392928,NC_059160.1,-,4,
gene-LOC102392934,LOC102392934,NC_059157.1,+,1,
gene-LOC102392935,LOC102392935,NC_059167.1,+,11,
gene-LOC102392936,LOC102392936,NC_059157.1,+,1,
gene-LOC102392938,LOC102392938,NC_059165.1,-,9,
gene-LOC102392942,LOC102392942,NC_059176.1,-,20,
gene-LOC102392947,LOC102392947,NC_059161.1,-,5,
gene-LOC102392951,LOC102392951,NC_059167.1,+,11,
gene-LOC102392957,LOC102392957,NC_059172.1,-,16,
gene-LOC102392959,LOC102392959,NC_059168.1,+,12,
gene-LOC102392961,LOC102392961,NC_059167.1,+,11,
gene-LOC102392973,LOC102392973,NC_059168.1,+,12,
gene-LOC102392983,LOC102392983,NC_059172.1,-,16,
gene-LOC102392984,LOC102392984,NC_059181.1,-,X,
gene-LOC102392992,LOC102392992,NC_059159.1,-,3,
gene-LOC102392997,LOC102392997,NC_059160.1,+,4,
gene-LOC102392998,LOC102392998,NC_059171.1,-,15,
gene-LOC102393002,LOC102393002,NC_059157.1,+,1,
gene-LOC102393004,LOC102393004,NC_059158.1,-,2,
gene-LOC102393017,LOC102393017,NC_059161.1,-,5,
gene-LOC102393019,LOC102393019,NC_059172.1,+,16,
gene-LOC102393022,LOC102393022,NC_059162.1,+,6,
gene-LOC102393026,LOC102393026,NC_059165.1,-,9,
gene-LOC102393030,LOC102393030,NC_059157.1,+,1,
gene-LOC102393038,LOC102393038,NC_059172.1,+,16,
gene-LOC102393048,LOC102393048,NC_059172.1,+,16,
gene-LOC102393049,LOC102393049,NC_059160.1,+,4,
gene-LOC102393051,LOC102393051,NC_059176.1,+,20,
gene-LOC102393052,LOC102393052,NC_059159.1,+,3,
gene-LOC102393054,LOC102393054,NC_059161.1,-,5,
gene-LOC102393070,LOC102393070,NC_059174.1,+,18,
gene-LOC102393072,LOC102393072,NC_059171.1,-,15,
gene-LOC102393084,LOC102393084,NC_059164.1,+,8,
gene-LOC102393086,LOC102393086,NC_059162.1,+,6,
gene-LOC102393087,LOC102393087,NC_059167.1,+,11,
gene-LOC102393094,LOC102393094,NC_059166.1,+,10,
gene-LOC102393096,LOC102393096,NC_059172.1,-,16,
gene-LOC102393114,LOC102393114,NC_059157.1,-,1,
gene-LOC102393115,LOC102393115,NC_059180.1,-,24,
gene-LOC102393117,LOC102393117,NC_059174.1,+,18,
gene-LOC102393132,LOC102393132,NC_059171.1,-,15,
gene-LOC102393133,LOC102393133,NC_059158.1,+,2,
gene-LOC102393138,LOC102393138,NC_059164.1,+,8,
gene-LOC102393144,LOC102393144,NC_059170.1,-,14,
gene-LOC102393147,LOC102393147,NC_059162.1,-,6,
gene-LOC102393150,LOC102393150,NC_059167.1,+,11,
gene-LOC102393160,LOC102393160,NC_059160.1,-,4,
gene-LOC102393161,LOC102393161,NC_059167.1,-,11,
gene-LOC102393166,LOC102393166,NC_059167.1,-,11,
gene-LOC102393170,LOC102393170,NC_059161.1,-,5,
gene-LOC102393181,LOC102393181,NC_059172.1,-,16,
gene-LOC102393183,LOC102393183,NC_059172.1,-,16,
gene-LOC102393189,LOC102393189,NC_059159.1,-,3,
gene-LOC102393199,LOC102393199,NC_059158.1,-,2,
gene-LOC102393200,LOC102393200,NC_059174.1,-,18,
gene-LOC102393209,LOC102393209,NC_059180.1,-,24,
gene-LOC102393222,LOC102393222,NC_059157.1,+,1,
gene-LOC102393223,LOC102393223,NC_059158.1,-,2,
gene-LOC102393230,LOC102393230,NC_059174.1,+,18,
gene-LOC102393232,LOC102393232,NC_059158.1,+,2,
gene-LOC102393233,LOC102393233,NC_059179.1,+,23,
gene-LOC102393241,LOC102393241,NC_059173.1,+,17,
gene-LOC102393242,LOC102393242,NC_059178.1,-,22,
gene-LOC102393244,LOC102393244,NC_059159.1,-,3,
gene-LOC102393246,LOC102393246,NC_059160.1,+,4,
gene-LOC102393255,LOC102393255,NC_059165.1,+,9,
gene-LOC102393257,LOC102393257,NC_059162.1,+,6,
gene-LOC102393258,LOC102393258,NC_059168.1,+,12,
gene-LOC102393261,LOC102393261,NC_059171.1,-,15,
gene-LOC102393262,LOC102393262,NC_059161.1,+,5,
gene-LOC102393271,LOC102393271,NC_059172.1,-,16,
gene-LOC102393274,LOC102393274,NC_059168.1,-,12,
gene-LOC102393275,LOC102393275,NC_059167.1,+,11,
gene-LOC102393282,LOC102393282,NC_059158.1,-,2,
gene-LOC102393291,LOC102393291,NC_059172.1,-,16,
gene-LOC102393302,LOC102393302,NC_059164.1,+,8,
gene-LOC102393313,LOC102393313,NC_059171.1,-,15,
gene-LOC102393318,LOC102393318,NC_059171.1,-,15,
gene-LOC102393324,LOC102393324,NC_059160.1,-,4,
gene-LOC102393327,LOC102393327,NC_059161.1,-,5,
gene-LOC102393329,LOC102393329,NC_059162.1,-,6,
gene-LOC102393330,LOC102393330,NC_059172.1,+,16,
gene-LOC102393331,LOC102393331,NC_059165.1,-,9,
gene-LOC102393332,LOC102393332,NC_059160.1,+,4,
gene-LOC102393336,LOC102393336,NC_059173.1,+,17,
gene-LOC102393338,LOC102393338,NC_059165.1,-,9,
gene-LOC102393341,LOC102393341,NC_059157.1,-,1,
gene-LOC102393350,LOC102393350,NC_059157.1,+,1,
gene-LOC102393352,LOC102393352,NC_059163.1,-,7,
gene-LOC102393356,LOC102393356,NC_059158.1,-,2,
gene-LOC102393365,LOC102393365,NC_059173.1,+,17,
gene-LOC102393368,LOC102393368,NC_059171.1,+,15,
gene-LOC102393370,LOC102393370,NC_059181.1,-,X,
gene-LOC102393372,LOC102393372,NC_059157.1,+,1,
gene-LOC102393382,LOC102393382,NC_059173.1,-,17,
gene-LOC102393384,LOC102393384,NC_059159.1,+,3,
gene-LOC102393385,LOC102393385,NC_059160.1,+,4,
gene-LOC102393386,LOC102393386,NC_059159.1,-,3,
gene-LOC102393391,LOC102393391,NC_059174.1,-,18,
gene-LOC102393397,LOC102393397,NC_059174.1,+,18,
gene-LOC102393412,LOC102393412,NC_059161.1,-,5,
gene-LOC102393413,LOC102393413,NC_059167.1,-,11,
gene-LOC102393419,LOC102393419,NC_059166.1,-,10,
gene-LOC102393421,LOC102393421,NC_059164.1,+,8,
gene-LOC102393427,LOC102393427,NC_059159.1,+,3,
gene-LOC102393435,LOC102393435,NC_059160.1,+,4,
gene-LOC102393438,LOC102393438,NC_059180.1,+,24,
gene-LOC102393439,LOC102393439,NC_059157.1,-,1,
gene-LOC102393443,LOC102393443,NC_059161.1,+,5,
gene-LOC102393449,LOC102393449,NC_059161.1,-,5,
gene-LOC102393455,LOC102393455,NC_059164.1,+,8,
gene-LOC102393460,LOC102393460,NC_059167.1,-,11,
gene-LOC102393465,LOC102393465,NC_059165.1,+,9,
gene-LOC102393471,LOC102393471,NC_059163.1,-,7,
gene-LOC102393476,LOC102393476,NC_059180.1,+,24,
gene-LOC102393477,LOC102393477,NC_059160.1,-,4,
gene-LOC102393484,LOC102393484,NC_059170.1,-,14,
gene-LOC102393493,LOC102393493,NC_059173.1,+,17,
gene-LOC102393498,LOC102393498,NC_059159.1,-,3,
gene-LOC102393499,LOC102393499,NC_059172.1,-,16,
gene-LOC102393502,LOC102393502,NC_059166.1,+,10,
gene-LOC102393506,LOC102393506,NC_059159.1,-,3,
gene-LOC102393517,LOC102393517,NC_059174.1,-,18,
gene-LOC102393518,LOC102393518,NC_059160.1,+,4,
gene-LOC102393522,LOC102393522,NC_059170.1,+,14,
gene-LOC102393534,LOC102393534,NC_059172.1,-,16,
gene-LOC102393536,LOC102393536,NC_059158.1,-,2,
gene-LOC102393541,LOC102393541,NC_059158.1,-,2,
gene-LOC102393546,LOC102393546,NC_059176.1,+,20,
gene-LOC102393561,LOC102393561,NC_059159.1,-,3,
gene-LOC102393565,LOC102393565,NC_059160.1,+,4,
gene-LOC102393568,LOC102393568,NC_059181.1,-,X,
gene-LOC102393569,LOC102393569,NC_059172.1,+,16,
gene-LOC102393570,LOC102393570,NC_059174.1,+,18,
gene-LOC102393574,LOC102393574,NC_059157.1,-,1,
gene-LOC102393576,LOC102393576,NC_059162.1,-,6,
gene-LOC102393578,LOC102393578,NC_059165.1,+,9,
gene-LOC102393585,LOC102393585,NC_059161.1,+,5,
gene-LOC102393596,LOC102393596,NC_059172.1,-,16,
gene-LOC102393597,LOC102393597,NC_059159.1,-,3,
gene-LOC102393598,LOC102393598,NC_059172.1,-,16,
gene-LOC102393600,LOC102393600,NC_059168.1,-,12,
gene-LOC102393601,LOC102393601,NC_059168.1,+,12,
gene-LOC102393604,LOC102393604,NC_059158.1,+,2,
gene-LOC102393607,LOC102393607,NC_059180.1,-,24,
gene-LOC102393616,LOC102393616,NC_059179.1,-,23,
gene-LOC102393619,LOC102393619,NC_059172.1,-,16,
gene-LOC102393631,LOC102393631,NC_059172.1,-,16,
gene-LOC102393636,LOC102393636,NC_059168.1,-,12,
gene-LOC102393641,LOC102393641,NC_059160.1,+,4,
gene-LOC102393643,LOC102393643,NC_059171.1,+,15,
gene-LOC102393652,LOC102393652,NC_059161.1,-,5,
gene-LOC102393654,LOC102393654,NC_059162.1,-,6,
gene-LOC102393655,LOC102393655,NC_059172.1,+,16,
gene-LOC102393658,LOC102393658,NC_059174.1,-,18,
gene-LOC102393666,LOC102393666,NC_059165.1,+,9,
gene-LOC102393668,LOC102393668,NC_059157.1,+,1,
gene-LOC102393672,LOC102393672,NC_059162.1,-,6,
gene-LOC102393675,LOC102393675,NC_059166.1,+,10,
gene-LOC102393677,LOC102393677,NC_059163.1,+,7,
gene-LOC102393680,LOC102393680,NC_059158.1,-,2,
gene-LOC102393682,LOC102393682,NC_059167.1,+,11,
gene-LOC102393696,LOC102393696,NC_059175.1,-,19,
gene-LOC102393700,LOC102393700,NC_059178.1,-,22,
gene-LOC102393701,LOC102393701,NC_059159.1,-,3,
gene-LOC102393703,LOC102393703,NC_059162.1,-,6,
gene-LOC102393704,LOC102393704,NC_059159.1,+,3,
gene-LOC102393709,LOC102393709,NC_059160.1,+,4,
gene-LOC102393710,LOC102393710,NC_059177.1,-,21,
gene-LOC102393715,LOC102393715,NC_059174.1,+,18,
gene-LOC102393723,LOC102393723,NC_059159.1,-,3,
gene-LOC102393731,LOC102393731,NC_059167.1,-,11,
gene-LOC102393734,LOC102393734,NC_059159.1,+,3,
gene-LOC102393735,LOC102393735,NC_059166.1,-,10,
gene-LOC102393736,LOC102393736,NC_059172.1,-,16,
gene-LOC102393738,LOC102393738,NC_059167.1,-,11,
gene-LOC102393739,LOC102393739,NC_059181.1,+,X,
gene-LOC102393741,LOC102393741,NC_059157.1,-,1,
gene-LOC102393744,LOC102393744,NC_059181.1,-,X,
gene-LOC102393746,LOC102393746,NC_059159.1,+,3,
gene-LOC102393752,LOC102393752,NC_059160.1,-,4,
gene-LOC102393756,LOC102393756,NC_059176.1,+,20,
gene-LOC102393759,LOC102393759,NC_059172.1,+,16,
gene-LOC102393767,LOC102393767,NC_059181.1,+,X,
gene-LOC102393771,LOC102393771,NC_059180.1,+,24,
gene-LOC102393774,LOC102393774,NC_059161.1,-,5,
gene-LOC102393777,LOC102393777,NC_059162.1,-,6,
gene-LOC102393778,LOC102393778,NC_059165.1,-,9,
gene-LOC102393782,LOC102393782,NC_059158.1,-,2,
gene-LOC102393785,LOC102393785,NC_059170.1,-,14,
gene-LOC102393792,LOC102393792,NC_059176.1,-,20,
gene-LOC102393794,LOC102393794,NC_059162.1,-,6,
gene-LOC102393795,LOC102393795,NC_059180.1,-,24,
gene-LOC102393796,LOC102393796,NC_059160.1,-,4,
gene-LOC102393802,LOC102393802,NC_059167.1,+,11,
gene-LOC102393804,LOC102393804,NC_059175.1,-,19,
gene-LOC102393808,LOC102393808,NC_059163.1,-,7,
gene-LOC102393818,LOC102393818,NC_059159.1,+,3,
gene-LOC102393820,LOC102393820,NC_059172.1,-,16,
gene-LOC102393823,LOC102393823,NC_059158.1,-,2,
gene-LOC102393825,LOC102393825,NC_059160.1,+,4,
gene-LOC102393834,LOC102393834,NC_059174.1,-,18,
gene-LOC102393839,LOC102393839,NC_059174.1,-,18,
gene-LOC102393847,LOC102393847,NC_059165.1,-,9,
